name,states,latitude,longitude,entranceFees
Acadia National Park,Maine,44.409286,-68.247501,yes
Arches National Park,Utah,38.72261844,-109.5863666,yes
Badlands National Park,South Dakota,43.68584846,-102.482942,yes
Big Bend National Park,Texas,29.29817767,-103.2297897,yes
Biscayne National Park,Florida,25.490587,-80.21023851,no
Black Canyon Of The Gunnison National Park,Colorado,38.57779869,-107.7242756,yes
Bryce Canyon National Park,Utah,37.58399144,-112.1826689,yes
Canyonlands National Park,Utah,38.24555783,-109.8801624,yes
Capitol Reef National Park,Utah,38.2821653131,-111.247048378,yes
Carlsbad Caverns National Park,New Mexico,32.14089463,-104.5529688,yes
Channel Islands National Park,California,33.98680093,-119.9112735,no
Congaree National Park,South Carolina,33.79187523,-80.74867805,no
Crater Lake National Park,Oregon,42.94065854,-122.1338414,yes
Cuyahoga Valley National Park,Ohio,41.26093905,-81.57116722,no
Death Valley National Park,California,36.48753731,-117.134395,yes
Denali National Park & Preserve,Alaska,63.29777484,-151.0526568,yes
Dry Tortugas National Park,Florida,24.628741,-82.87319,yes
Everglades National Park,Florida,25.37294225,-80.88200301,yes
Gates Of The Arctic National Park & Preserve,Alaska,67.75961636,-153.2917758,no
Gateway Arch National Park,Missouri,38.6258069,-90.1892508,yes
Glacier Bay National Park & Preserve,Alaska,58.80086718,-136.8407579,no
Glacier National Park,Montana,48.68414678,-113.8009306,yes
Grand Canyon National Park,Arizona,36.0001165336,-112.121516363,yes
Grand Teton National Park,Wyoming,43.81853565,-110.7054666,yes
Great Basin National Park,Nevada,38.94617378,-114.2579782,no
Great Sand Dunes National Park & Preserve,Colorado,37.79256812,-105.5919572,yes
Great Smoky Mountains National Park,North Carolina,35.60116374,-83.50818326,no
Guadalupe Mountains National Park,Texas,31.92304462,-104.885527,yes
Haleakalā National Park,Hawaii,20.70693015,-156.1591775,yes
Hawaiʻi Volcanoes National Park,Hawaii,19.3355036,-155.4700257,yes
Hot Springs National Park,Arkansas,34.52414366,-93.06332936,no
Indiana Dunes National Park,Indiana,41.63765525,-87.09647445,yes
Isle Royale National Park,Michigan,48.01145819,-88.82780657,yes
Joshua Tree National Park,California,33.91418525,-115.8398125,yes
Katmai National Park & Preserve,Alaska,58.62235668,-155.0126574,no
Kenai Fjords National Park,Alaska,59.81804414,-150.106502,no
Kings Canyon National Park,California,36.887856,-118.555145,yes
Kobuk Valley National Park,Alaska,67.35631336,-159.2002293,no
Lake Clark National Park & Preserve,Alaska,60.57405857,-153.55535,no
Lassen Volcanic National Park,California,40.49354575,-121.4075993,yes
Mammoth Cave National Park,Kentucky,37.19760458,-86.13090198,no
Mesa Verde National Park,Colorado,37.23908345,-108.4624032,yes
Mount Rainier National Park,Washington,46.86075416,-121.7043885,yes
New River Gorge National Park & Preserve,West Virginia,37.86878554,-80.99956002,no
North Cascades National Park,Washington,48.71171756,-121.2069423,no
Olympic National Park,Washington,47.80392754,-123.6663848,yes
Petrified Forest National Park,Arizona,34.98387664,-109.7877678,yes
Pinnacles National Park,California,36.49029208,-121.1813607,yes
Redwood National Park,California,41.37237268,-124.0318129,no
Rock Creek Park,Washington, D.C.,38.95125063,-77.05002838,no
Rocky Mountain National Park,Colorado,40.3556924,-105.6972879,yes
Saguaro National Park,Arizona,32.20909636,-110.7574974,yes
Sequoia National Park,California,36.71277299,-118.587429,yes
Shenandoah National Park,Virginia,38.49236644,-78.46907715,yes
Theodore Roosevelt National Park,North Dakota,47.17777274,-103.4300083,yes
Virgin Islands National Park,U.S. Territory,18.34279656,-64.74194451,no
Voyageurs National Park,Minnesota,48.48370609,-92.8382913,no
White Sands National Park,New Mexico,32.77907858,-106.3333461,yes
Wind Cave National Park,South Dakota,43.58012365,-103.4394709,no
Wrangell - St Elias National Park & Preserve,Alaska,61.4182147,-142.6028439,no
Yellowstone National Park,Idaho,44.59824417,-110.5471695,yes
Yosemite National Park,California,37.84883288,-119.5571873,yes
Zion National Park,Utah,37.29839254,-113.0265138,yes